"","logFC","logCPM","LR","PValue"
"lp_0001",0.142952053455311,9.56074413242372,0.740945074240798,0.389358305246097
"lp_0002",0.287604724764963,10.1968690486678,2.84640143261507,0.0915787111089546
"lp_0004",-0.120713873359705,7.29193862502559,0.447962138248553,0.503304294397082
"lp_0005",0.0642854646865721,9.56177514603793,0.132125532115992,0.71623831455772
"lp_0009",1.43720012627256,11.8009106088149,31.5084226704289,1.98577034424933e-08
"lp_0010",1.17770496787312,12.8374728911427,39.193116944447,3.8389119439934e-10
"lp_0011",1.10941338313854,12.2634314396582,42.4379794023985,7.2959439579614e-11
"lp_0012",-0.25920181001664,9.50460850528209,2.55992664723307,0.109603668747634
"lp_0013",-0.199855915371938,8.62872410130855,1.21235934055832,0.270865363422721
"lp_0014",-0.156639353953061,8.90369066556222,0.940961488188009,0.332030694115892
"lp_0016",-0.220715403173885,6.67617557384389,1.09365291036486,0.295663256988978
"lp_0017",-0.329868288945813,7.58568811572559,3.45656737188861,0.0630009770993279
"lp_0026",-0.302718339374654,6.39380377269908,2.29591772390617,0.129714521539115
"lp_0036",-0.162916906057598,8.59257651084479,0.917181928115546,0.338215995452129
"lp_0037",0.0157968918291713,9.14636033908616,0.0102696526445101,0.919281124099062
"lp_0038",0.361652583374673,8.3683715308165,4.9254969838266,0.0264631895316008
"lp_0039",0.515984397005284,7.64887751586244,8.29636233339302,0.00397245688376125
"lp_0041",-0.0475195333706459,8.19533970518627,0.0621968505525956,0.803056827069248
"lp_0043",-0.208119270713344,9.15158937796321,1.76217633487477,0.184353290529888
"lp_0053",1.24715537524935,8.0930760561183,46.6692288246751,8.40382996738274e-12
"lp_0058",-2.87429828779867,6.08675584020441,130.194601108535,3.71510568907687e-30
"lp_0063",-4.05472284522401,5.14060320128237,201.691803835251,8.92585880000408e-46
"lp_0068",-0.0803251444195616,5.7960563802709,0.132268954318807,0.716091012434827
"lp_0070",-2.04960487554617,8.04235158000835,102.242226209872,4.91313904529349e-24
"lp_0073",0.162219980805162,6.17911757488648,0.609089805817701,0.435130720277435
"lp_0076",-0.209937797774046,7.06494450374083,1.2891031228561,0.2562132994852
"lp_0077",-0.100933313268395,6.02932875608881,0.212887541108125,0.644513531797492
"lp_0085",-0.0393563750024663,7.73160620575801,0.044530095168188,0.83287045439218
"lp_0089",0.00769672734915474,6.083059257147,0.00106242592711148,0.973997656196086
"lp_0091",-0.268983035530803,7.1187576811939,2.18056152267913,0.139763460742529
"lp_0092",-0.25645668765305,6.29416619007701,1.58061303129763,0.208672413387572
"lp_0099",0.651744875781531,6.58991208102593,5.32334264171736,0.0210416106555268
"lp_0100",0.318063341911228,8.04339262633018,3.73443843282302,0.0533015810053673
"lp_0101",1.44414275290123,5.16984786522853,35.1104774528438,3.11520156181584e-09
