ID	WCFS1.glc.1	WCFS1.glc.2	WCFS1.rib.1	WCFS1.rib.2	NC8.glc.1	NC8.glc.2	NC8.rib.1	NC8.rib.2
lp_1680	329	909	3968	7268	14222	24301	16550	24717
lp_1681	374	1022	5066	7736	14512	17522	17826	19563
lp_1682	290	777	3774	5466	10808	14730	15576	16764
lp_1684	32	32	18	24	35	28	32	22
lp_1685	203	225	541	643	844	831	926	798
lp_1686	201	186	441	453	758	665	616	581
lp_1687	429	413	338	463	819	985	510	549
lp_1688	52	64	98	77	79	124	139	120
lp_1689	42	58	29	29	41	73	46	52
lp_1690	2007	2317	2031	2751	2017	2396	3468	3716
lp_1694	296	357	302	285	481	351	424	432
lp_1695	36	44	49	35	151	83	58	65
lp_1696	1114	1028	1331	1281	1386	970	1023	1134
lp_1697	639	638	1087	1114	293	243	717	577
lp_1698	819	1049	603	518	546	851	408	361
lp_1699	1182	1342	1173	1202	733	693	669	577
lp_1700	699	840	1280	1530	680	841	1750	1676
lp_1701	681	714	1171	1386	660	596	1320	1111
lp_1702	1798	1835	2708	1947	2641	1897	2455	2184
lp_1703	1479	1664	2211	2493	1025	1242	1556	1335
lp_1704	1317	1642	3204	4756	1125	1780	2781	2944
lp_1705	1279	1377	3180	3687	1140	1237	2603	2443
lp_1706	1406	1525	3681	4057	1305	1431	3310	2991
lp_1708	1205	1225	1555	1652	474	438	638	792
lp_1709	480	515	623	637	388	438	683	670
lp_1711	1957	2516	2817	3333	1582	2461	3574	3618
lp_1712	2036	2549	2174	2232	1854	1848	2530	2195
lp_1713	1927	2178	2188	2558	1490	1746	3153	2718
lp_1715	1464	1466	852	670	1317	1238	625	661
lp_1716	1574	1421	921	726	1699	1363	833	929
lp_1717	233	303	217	416	217	366	229	332
lp_1718	93	100	82	80	77	80	93	90
lp_1721	61	82	78	90	50	79	88	104
lp_1722	62	72	75	76	87	114	115	89
lp_1723	1300	1389	1409	1425	1148	1314	1496	1399
lp_1724	1884	2139	1930	2104	1371	1712	1820	1927
lp_1726	1368	1591	1529	1400	1062	1279	1523	1419
lp_1729	175	246	137	146	264	235	141	164
lp_1731	146	204	237	246	230	322	276	282
lp_1732	1456	1641	1014	1005	1213	1379	1183	1029
lp_1733	3116	3615	2846	2666	3280	3489	3471	3084
lp_1734	2446	2823	2660	2400	2535	3098	3064	3031
lp_1735	1393	1790	1431	1499	1333	1913	1701	1793
lp_1737	3826	4419	4891	5291	3732	4288	5159	5521
lp_1738	2408	2296	1744	1610	2359	2367	1373	1689
lp_1739	10170	10300	7819	8412	8187	9118	6408	7541
lp_1741	2697	2781	1627	1527	1936	2385	1127	1310
lp_1744	19	37	24	38	24	35	28	32
lp_1745	18	20	8	32	10	11	5	15
lp_1746	20	22	32	16	23	26	10	22
lp_1747	485	555	1156	1144	331	377	841	717
lp_1748	34	27	52	61	36	31	40	42
lp_1749	4	8	20	13	4	5	5	18
lp_1750	4	4	0	6	0	10	4	13
lp_1751	7291	8475	6978	7576	7512	10699	8158	8586
lp_1752	1982	1932	1756	1907	2201	2790	1634	2034
lp_1753	523	484	500	519	434	342	517	426
lp_1754	19937	17729	18238	15260	19820	13428	17797	13603
lp_1756	2747	2979	1782	2084	2261	2596	1820	1904
lp_1760	335	410	635	670	408	392	675	560
lp_1762	46	43	136	120	51	56	167	123
lp_1763	93	89	624	571	93	67	698	646
lp_1779	5212	5104	4894	6085	4759	5073	5908	7342
lp_1780	724	583	478	700	702	580	369	674
lp_1781	1550	1510	1138	1537	1148	1710	1347	1804
lp_1782	880	963	1536	2149	713	922	2240	2418
lp_1783	2388	2580	4543	6374	2014	2461	6683	7145
lp_1784	6045	6401	9523	12509	4558	5566	14041	15054
lp_1785	351	370	912	1135	60	89	563	617
lp_1786	274	288	262	289	200	281	232	246
lp_1787	443	454	500	607	403	647	644	674
lp_1788	312	322	359	373	251	493	421	510
lp_1789	406	473	430	488	470	706	466	614
lp_1790	177	217	187	142	87	90	86	95
lp_1793	4158	5459	4364	4977	3428	5374	5399	5141
lp_1795	1660	2052	1402	1501	1141	1160	1004	1022
lp_1796	4990	5596	4229	4079	5268	5395	4759	4353
lp_1797	1126	1106	986	783	1290	1199	1072	923
lp_1798	296	250	328	339	342	182	320	287
lp_1801	1083	1261	1069	817	864	991	774	809
lp_1803	132	171	178	157	124	216	137	109
lp_1805	397	396	311	503	404	429	539	593
lp_1806	390	398	337	458	294	339	420	416
lp_1807	290	227	263	365	291	233	292	371
lp_1809	627	640	427	396	754	757	403	310
