"","logFC","logCPM","LR","PValue"
"lp_0001",0.0686833716155627,9.72011437674877,0.126531814982741,0.722055427751756
"lp_0002",0.183759738341818,10.3532233724109,0.991064909811069,0.319482240455341
"lp_0004",0.135189447327553,7.44868209559937,0.768136061949525,0.380794294820634
"lp_0005",0.259211979865643,9.59781390592458,2.02852082991038,0.154370786952963
"lp_0009",0.66974101174561,11.9359623932874,8.38925953100397,0.00377444640033747
"lp_0010",0.645936773208188,12.9386005132764,10.8107756029167,0.00100911017864588
"lp_0011",0.6711475227159,12.3643035279201,13.7148735246324,0.000212762819215345
"lp_0012",-0.190261390068904,9.52089304796467,1.17988028037044,0.277380369436777
"lp_0013",-0.11694560612518,8.63538738730257,0.385679810512734,0.534579063712155
"lp_0014",0.0801059522187246,8.89786476373568,0.20623061035889,0.649737992935988
"lp_0015",-0.1310643671825,4.92251068439018,0.3343104181903,0.56313191359423
"lp_0016",0.0152372263978949,6.30538412029678,0.005928156930878,0.938627900194024
"lp_0017",0.00809865821178613,7.26062105851623,0.00230113198468462,0.961740059523886
"lp_0018",-1.09260192526351,4.77934396634768,26.8172156146947,2.2363617848865e-07
"lp_0022",-0.87878006814317,2.76920514013698,8.54084232149932,0.00347264894439533
"lp_0026",-0.354425848722637,7.3026066302976,4.33196564934351,0.0374030280814798
"lp_0027",-0.531495792942522,5.28558199040968,4.29099232189762,0.0383147969106869
"lp_0036",0.102758885444264,8.56357563494366,0.337432834936379,0.561314799666279
"lp_0037",0.142654408390793,9.26691648783944,0.692248399657245,0.405400667955222
"lp_0038",0.355109121748447,8.5633474368158,4.37198753094068,0.0365343551114029
"lp_0039",0.52458915787652,7.99890242573324,10.8128550191799,0.00100797739661281
"lp_0041",-0.335900908893947,8.18239262905282,3.1851782752114,0.0743088913245112
"lp_0043",-0.120320486625655,8.98068380360218,0.45814111243493,0.498494010471971
"lp_0046",-0.214065734077099,4.74536890549909,0.911796159005115,0.339638293650498
"lp_0047",0.375261627067829,3.41736389732381,1.68362343897877,0.194443677655052
"lp_0048",-0.281975376010225,4.81033189366801,1.74461027950462,0.186555732489189
"lp_0050",-0.0741138547263354,4.75972439726157,0.11798937584941,0.731225487663017
"lp_0052",-0.157681053821649,5.47117539673591,0.7333207071958,0.39180893115936
"lp_0053",1.13548784383274,8.22989957469206,41.0187633540352,1.50774743766986e-10
"lp_0057",-0.544438213048414,5.91651385255584,9.14760721538346,0.00249043523658629
"lp_0058",-3.16778441308959,6.04934072096934,219.901265459577,9.50429993929741e-50
"lp_0059",-1.15342139575442,3.64317731403276,14.4278047723989,0.00014563608554876
"lp_0060",-0.985552443650774,1.66132469071418,4.70958828082271,0.0299948343501761
"lp_0061",-0.46619294135443,3.0401674010975,2.2469570884077,0.133877431891784
"lp_0062",-0.748063050022727,2.76147735873648,6.04467922406527,0.0139482669878171
"lp_0063",-4.71565252858512,5.06373782791801,334.080030676727,1.24213128560841e-74
"lp_0066",-0.179805552549619,4.99862243524756,0.727173765081891,0.393800817972331
"lp_0068",-0.00321463580193534,5.75083180562434,0.000289917217440205,0.98641511141776
"lp_0070",-1.1898633239483,6.21766226270831,44.7706176196907,2.21522035019074e-11
"lp_0073",0.312644564628828,5.96679019789038,2.92473523292404,0.0872315335331097
"lp_0075",-0.0609310753513167,2.77292864898548,0.0370484238633964,0.847366490139714
"lp_0076",-0.121222964216678,6.692317572337,0.499733634466834,0.479617184269231
"lp_0077",0.124228862443695,5.96567410857533,0.483998557239675,0.486616695269489
"lp_0078",-0.0533477142364465,5.37161698920498,0.0789249921960238,0.778759548035218
"lp_0080",0.270697075498516,4.98317275378115,1.87996819684045,0.170337762417813
"lp_0081",-0.470419497585057,5.7465034933055,6.10764755891073,0.0134598162886743
"lp_0082",-0.720387731947305,3.47111353686172,4.53955012881452,0.0331202952122523
"lp_0083",-0.347781765318127,4.85939179049675,2.75213074004945,0.097124918270457
"lp_0085",-0.645714334592244,5.8109543100137,11.5227144642176,0.000687509254320675
"lp_0088",-0.150562936348556,4.59939874145213,0.533641035445096,0.46508010223034
"lp_0089",-0.0523028334036788,6.46554733290699,0.0812869731163453,0.775560861829899
"lp_0091",0.022402611847726,7.06479039913434,0.0143333327532389,0.904703453385733
"lp_0092",-0.453111008610142,5.85126488199655,6.02683808224487,0.01408995087895
"lp_0096",-2.93424028295556,4.60794303340055,133.196712035399,8.18829126900513e-31
"lp_0098",-2.03264752782972,5.06707996435371,76.7997703608833,1.89199597612116e-18
"lp_0099",0.278746583284757,7.21930165513778,1.00344804603807,0.316477617587623
"lp_0100",0.16869316922982,8.16579269415665,0.831075236459288,0.361961797361022
"lp_0101",1.23231998988958,5.31389915916525,29.2541599125314,6.34797971529512e-08
"lp_0102",1.28182051071779,5.92466423151053,41.6966223538039,1.06592976879795e-10
"lp_0103",0.994480089302843,5.61309198239005,16.0542287391538,6.15540066717438e-05
"lp_0104",2.22602451731225,4.21059641705834,86.4978417438009,1.39889890710304e-20
"lp_0105",1.91375266547756,2.88722549683066,37.1591470234673,1.08870863495884e-09
"lp_0106",2.50181211228657,2.88294345758499,56.7397377527338,4.97480270737735e-14
"lp_0107",2.30118847984259,3.11785411830726,56.463361923457,5.72553242660867e-14
"lp_0108",1.70108897246464,1.71603594076824,13.6741546611436,0.000217426353401359
"lp_0109",1.48735519091696,3.5666176295404,23.5987378417078,1.18665326302317e-06
"lp_0111",-0.53695860249512,7.90787868635822,8.71266155382915,0.00316007505769736
"lp_0113",-2.74550801918653,5.52978015182687,161.102083458369,6.49922216080467e-37
"lp_0114",-2.48666393218212,6.44096789635054,160.57355992928,8.47878767928223e-37
"lp_0115",-2.43840179009839,6.13744647018117,160.127877119285,1.06098390106933e-36
"lp_0116",-2.4342765017254,7.05133436584849,182.985868654252,1.08022190795484e-41
"lp_0117",-0.432930502531648,6.28221529773773,5.42327947726834,0.0198700043794758
"lp_0118",-1.26173079333427,7.74732368159506,53.3037793865606,2.8575624002557e-13
"lp_0119",-0.45500270555247,6.83070185680138,6.05800648479102,0.0138433867145984
"lp_0120",-0.0618167964768901,9.08718834277258,0.123661954229426,0.725096249596563
"lp_0121",-0.171567968544806,6.36351801426532,0.931616694670524,0.334443180059736
"lp_0122",-0.338169609041967,6.56232335859033,3.89241873272118,0.0485045214700308
"lp_0124",0.196953231841699,9.59585897017372,1.20682302078639,0.271962228454264
"lp_0126",-0.23192636436348,9.32100593036163,0.955095520512913,0.32842565898462
"lp_0127",-0.0694284228230409,4.31231353804676,0.0949643232602295,0.757958442450002
"lp_0128",-0.0540950711885477,4.84301510485793,0.0672069179512249,0.795447778095266
"lp_0129",-0.121216722786378,5.5179748658112,0.420834064666112,0.516521155382031
"lp_0130",-0.267340594620164,0.525133763661202,0.192736417430884,0.66064881306913
"lp_0132",0.167532518516359,6.18730969292014,0.879158788301158,0.348432184031133
"lp_0133",-0.0229610311357467,5.09329775058935,0.00901504924915741,0.924356437466225
"lp_0134",0.0693166805614812,5.36613791222201,0.106347922794953,0.744340910148975
"lp_0136",-0.468131297632119,2.80896324388162,1.88216559075429,0.170088218240579
"lp_0137",-0.892074741073026,6.83972881814496,30.126780510152,4.04703748790387e-08
"lp_0138",0.885427964536903,7.58115263366932,31.1235711418461,2.42113431238356e-08
"lp_0139",-1.68442610302829,10.7913623456691,88.8783413749483,4.19855128536055e-21
"lp_0141",0.271210081131048,1.23529407376228,0.314555090561616,0.574898358593454
"lp_0145",0.907628133905134,7.04811664558358,26.2681453715366,2.97149695445317e-07
"lp_0146",0.528951096348143,5.15013853715315,5.96648520783084,0.0145803143038755
"lp_0148",0.223423325207889,6.90625385076907,1.51524450738432,0.218340561905775
"lp_0149",0.165825056502624,8.27736507185908,0.875280250889674,0.34949764758242
"lp_0150",0.247285990760747,5.61749223758324,1.48073800978054,0.223659089522195
"lp_0152",0.00830551182057887,6.8558022614189,0.00256947661734397,0.959572541183891
"lp_0154",-1.78114234989528,2.71626676037651,19.093424476316,1.24473004570578e-05
"lp_0155",-3.11851554467842,3.19686539212245,51.5322088758414,7.04320639159548e-13
"lp_0156",-3.61693860122166,4.16242467986079,167.90252657431,2.12467198634099e-38
"lp_0158",-0.403407457001878,6.16525541173046,4.10406395628835,0.0427802662723667
"lp_0159",-0.0617373963402998,4.90111555435867,0.0763982901623521,0.782239008791029
"lp_0160",-0.297421250148657,3.94420634731635,1.41435713302543,0.234334428919886
"lp_0161",-0.0621564904442918,4.18451381551079,0.0807736323654613,0.776251733119607
"lp_0162",0.0235231166854431,5.19955666685968,0.0107924965911224,0.917259070292309
"lp_0163",-0.164254003726642,6.7471484591968,0.787909330222547,0.374733047684229
"lp_0164",0.514343339793893,7.74563917111102,8.16303344191462,0.00427528048455657
"lp_0165",-0.279782281906605,3.54073756459163,1.24528491840454,0.264454946803906
"lp_0166",-0.151910932034435,5.88640493361371,0.643358238398058,0.422497340235503
"lp_0168",-0.472262863726529,7.63676736689826,8.80098884027933,0.00301067322733793
"lp_0169",-0.569476318562848,7.3559302014535,9.99411418447388,0.00157041352397499
"lp_0170",-0.479641561545841,6.15771260454359,7.53717660735947,0.00604386779024058
"lp_0171",-0.61681128419483,7.32279966621921,13.7522293586411,0.000208573131994755
"lp_0172",-1.36550829752328,5.65236512512651,49.1186883101828,2.40933777452025e-12
"lp_0173",-1.57139396158433,5.60473744300816,59.5407240516083,1.19789435063688e-14
"lp_0174",-1.38620316145367,6.65312933606181,57.7056898976047,3.04420950274208e-14
"lp_0175",-1.78845967710296,6.66193658419417,98.0244373174844,4.13251072004556e-23
"lp_0176",-2.49538504983011,3.47408645078463,78.5726772260282,7.71085685700653e-19
"lp_0177",-1.5233056579906,2.41790282356865,19.7552346036808,8.80202841689217e-06
"lp_0178",-1.72893895653902,3.7413158681263,47.1511880130389,6.57168077729127e-12
"lp_0179",-1.51721730598826,4.17063413633763,43.81443034136,3.61033262154781e-11
"lp_0183",0.218910948566688,8.43840512372254,1.36164972470215,0.243251774438022
"lp_0184",-1.71363840522012,5.6393839448711,58.4813892250582,2.05223090856059e-14
"lp_0185",-0.536458255784646,4.80239908894706,7.02908379659565,0.00801963727076476
"lp_0187",0.28206754003426,4.47172668281086,1.55816063514288,0.211934741989792
"lp_0188",-0.21262248930461,5.65178121827595,1.32428434985755,0.249824588935173
"lp_0190",0.613036530413428,6.7236417203526,12.6166314942003,0.000382329690271143
"lp_0192",0.716247846274306,6.36449031992686,16.4469161351198,5.00315035438709e-05
"lp_0194",0.183307167140893,6.01205521168409,1.01259556792984,0.314281823291315
"lp_0197",-0.500410987992979,7.68842762858565,6.76959528161221,0.00927238596994859
"lp_0199",-0.148455100610633,7.3350110034774,0.845873409611407,0.357722357469033
"lp_0202",0.387632897276747,3.79221445497501,2.11776921096725,0.14559848027882
